"ID","NAME","SIDE","LOCKED","PTS","EQUIPMENT","CATEGORY(s)","30 Seconds","60 Seconds","ANATOMY LISTING CODE","SOUND30","SOUND60","VIDEO","CATEGORY_L","CATEGORY_O","CATEGORY_M","CATEGORY_T","CATEGORY_BUR","CATEGORY_TDR","X2"
"1","Hanging Clocks","1","FREE","4","Chinup Bar","L , O, BUR","4","NA","BUR","EN1_HangingClocks30","EN1_HangingClocks60","1","1","1","0","0","1","0",""
"2","Hanging Leg Spirals","1","FREE","3","Chinup Bar","L , O, BUR","3","4","L","EN2_HangingLegSpirals30","EN2_HangingLegSpirals60","2","1","1","0","0","1","0",""
"3","Hanging Bent Leg Spirals","1","FREE","2","Chinup Bar","L , O, BUR","2","3","O","EN3_HangingBentLegSpirals30","EN3_HangingBentLegSpirals60","3","1","1","0","0","1","0",""
"4","Hanging Knee Raises ","1","FREE","2","Chinup Bar","L","2","3","L","EN4_HangingKneeRaises30","EN4_HangingKneeRaises60","4","1","0","0","0","0","0",""
"5","Hanging Bicycles ","1","FREE","3","Chinup Bar","L","3","4","L","EN5_HangingBicycles30","EN5_HangingBicycles60","5","1","0","0","0","0","0",""
"6","Hanging Bicycle Climbs ","1","FREE","4","Chinup Bar","L","4","NA","L","EN6_HangingBicycleClimbs30","EN6_HangingBicycleClimbs60","6","1","0","0","0","0","0",""
"7","Hanging Windshield Wipers","1","FREE","3","Chinup Bar","L , O, BUR","3","4","BUR","EN7_HangingWindshieldWipers30","EN7_HangingWindshieldWipers60","7","1","1","0","0","1","0",""
"8","Hanging Dropping ""L"" Raises","1","FREE","4","Chinup Bar","L","4","NA","L","EN8_HangingDroppingLRaises30","EN8_HangingDroppingLRaises60","8","1","0","0","0","0","0",""
"9","Hanging Bat Crunch","1","FREE","5","Chinup Bar","L","4","NA","L","EN9_HangingBatCrunch30","EN9_HangingBatCrunch60","9","1","0","0","0","0","0",""
"10","Hanging ""X"" Raises ","1","FREE","3","Chinup Bar","L","3","4","L","EN10_HangingXRaises30","EN10_HangingXRaises60","10","1","0","0","0","0","0",""
"11","Hanging Scissor Raises ","1","FREE","3","Chinup Bar","L, O","3","4","L","EN11_HangingScissorRaises30","EN11_HangingScissorRaises60","11","1","1","0","0","0","0",""
"12","Twisting Pistons ","1","FREE","3","Bodyweight","BUR, M","3","4","BUR","EN12_TwistingPistons30","EN12_TwistingPistons60","12","0","0","1","0","1","0",""
"13","Cross Knee Planks ","1","FREE","1","Bodyweight","BUR, M","1","2","BUR","EN13_CrossKneePlanks30","EN13_CrossKneePlanks60","13","0","0","1","0","1","0",""
"14","Alligator Walk Planks ","1","FREE","4","Bodyweight","M","4","NA","M","EN14_AlligatorWalkPlanks30","EN14_AlligatorWalkPlanks60","14","0","0","1","0","0","0",""
"15","Walk the Plank","1","FREE","4","Bodyweight","M","4","NA","M","EN15_WalkThePlank30","EN15_WalkThePlank60","15","0","0","1","0","0","0",""
"16","Sidewalk Planks ","1","FREE","4","Bodyweight","M","4","NA","M","EN16_SidewalkPlanks30","EN16_SidewalkPlanks60","16","0","0","1","0","0","0",""
"17","Tuck Planks (opposite side)","1","FREE","2","Bodyweight","TDR, BUR","2","3","TDR","EN17_TuckPlanks_OppositeSide30","EN17_TuckPlanks_OppositeSide60","17","0","0","0","0","1","1",""
"18","Tuck Planks (same side)","1","FREE","3","Bodyweight","TDR, BUR","3","4","TDR","EN18_TuckPlanks_SameSide30","EN18_TuckPlanks_SameSide60","18","0","0","0","0","1","1",""
"19","Plank Switches","1","FREE","3","Tennis Ball","M","3","4","M","EN19_PlankSwitches30","EN19_PlankSwitches60","19","0","0","1","0","0","0",""
"20","Marching Planks ","1","FREE","1","Bodyweight","M","1","2","M","EN20_MarchingPlanks30","EN20_MarchingPlanks60","20","0","0","1","0","0","0",""
"21","Sprinter Tuck Planks","1","FREE","2","Bodyweight","TDR, BUR","2","3","TDR","EN21_SprinterTuckPlanks30","EN21_SprinterTuckPlanks60","21","0","0","0","0","1","1",""
"22","Cliffhanger Planks","1","FREE","5","Bodyweight","M","4","NA","M","EN22_CliffhangerPlanks30","EN22_CliffhangerPlanks60","22","0","0","1","0","0","0",""
"23","Twisted ""T"" Planks","1","FREE","2","Bodyweight","TDR","2","3","TDR","EN23_TwistedTPlanks30","EN23_TwistedTPlanks60","23","0","0","0","0","0","1",""
"24","Cross Hop Planks","1","FREE","3","Bodyweight","M","3","4","M","EN24_CrossHopPlanks30","EN24_CrossHopPlanks60","24","0","0","1","0","1","0",""
"25","Wall Tuck Planks","1","FREE","2","Bodyweight","M, BUR","2","3","BUR","EN25_WallTuckPlanks30","EN25_WallTuckPlanks60","25","0","0","1","0","0","0",""
"26","Suspension Planks","1","FREE","3","Resistance Band","TDR, M","3","4","M","EN26_SuspensionPlanks30","EN26_SuspensionPlanks60","26","0","0","1","0","0","1",""
"27","Cyclone Twists (center to side)","1","FREE","2","Resistance Band","TDR, O","2","3","TDR","EN27_CycloneTwists_CenterToSide30","EN27_CycloneTwists_CenterToSide60","27","0","1","0","0","0","1",""
"28","Cyclone Twists (side to center)","1","FREE","2","Resistance Band","TDR, O","2","3","TDR","EN28_CycloneTwists_SideToCenter30","EN28_CycloneTwists_SideToCenter60","28","0","1","0","0","0","1",""
"29","Knockouts","2","FREE","2","Resistance Band","TDR","2","3","TDR","EN29_Knockouts30","EN29_Knockouts60","29","0","0","0","0","0","1","ss"
"30","Uppercuts","2","FREE","2","Resistance Band","TDR, O","2","3","TDR","EN30_Uppercuts30","EN30_Uppercuts60","30","0","1","0","0","0","1","ss"
"31","Knucklebreakers","2","FREE","3","Resistance Band","TDR, BUR","3","4","TDR","EN31_Knucklebreakers30","EN31_Knucklebreakers60","31","0","0","0","0","1","1","ss"
"32","Woodchoppers","1","FREE","1","Resistance Band","TDR","1","2","TDR","EN32_Woodchoppers30","EN32_Woodchoppers60","32","0","0","0","0","0","1",""
"33","Core Death March","1","FREE","3","Resistance Band","M, T","3","4","M","EN33_CoreDeathMarch30","EN33_CoreDeathMarch60","33","0","0","1","1","0","0",""
"34","Leaning Towers","2","FREE","3","Resistance Band","TDR","3","4","TDR","EN34_LeaningTowers30","EN34_LeaningTowers60","34","0","0","0","0","0","1","ss"
"35","Oak Tree Step Outs","2","FREE","2","Resistance Band","M, TDR","2","3","TDR","EN35_OakTreeStepOuts30","EN35_OakTreeStepOuts60","35","0","0","1","0","0","1","ss"
"36","Oak Tree Jumpouts","2","FREE","3","Resistance Band","M, TDR","3","4","TDR","EN36_OakTreeJumpOuts30","EN36_OakTreeJumpOuts60","36","0","0","1","0","0","1","ss"
"37","Standing Ab Twists","1","FREE","1","Bodyweight","TDR","1","2","TDR","EN37_StandingAbTwists30","EN37_StandingAbTwists60","37","0","0","0","0","0","1",""
"38","Rib Crushers","1","FREE","3","Resistance Band","O","3","4","O","EN38_RibCrushers30","EN38_RibCrushers60","38","0","1","0","0","0","0",""
"39","Physioball Knee Tucks","1","FREE","2","Physioball","L","2","3","L","EN39_PhysioballKneeTucks30","EN39_PhysioballKneeTucks60","39","1","0","0","0","0","0",""
"40","Physioball Around the Worlds ","1","FREE","3","Physioball","BUR, L","3","4","BUR","EN40_PhysioballAroundTheWorlds30","EN40_PhysioballAroundTheWorlds60","40","1","0","0","0","1","0",""
"41","Physioball Levitation Crunches ","1","FREE","2","Physioball","T","2","3","T","EN41_PhysioballLevitationCrunches30","EN41_PhysioballLevitationCrunches60","41","0","0","0","1","0","0",""
"42","Physioball Ball Passes ","1","FREE","3","Physioball","M","3","4","M","EN42_PhysioballBallPasses30","EN42_PhysioballBallPasses60","42","0","0","1","0","0","0",""
"43","Physioball Reverse Crunches ","1","FREE","2","Physioball","L","2","3","L","EN43_PhysioballReverseCrunches30","EN43_PhysioballReverseCrunches60","43","1","0","0","0","0","0",""
"44","Phyisoball Corkscrews ","1","FREE","3","Physioball","L, O, BUR","3","4","L","EN44_PhysioballCorkscrews30","EN44_PhysioballCorkscrews60","44","1","1","0","0","1","0",""
"45","Physioball Wall Plant Crunches ","1","FREE","2","Physioball","T","2","3","T","EN45_PhysioballWallPlantCrunches30","EN45_PhysioballWallPlantCrunches60","45","0","0","0","1","0","0",""
"46","Physioball Sprinter Knee Tucks","2","FREE","3","Physioball","L","3","4","L","EN46_PhysioballSpinterKneeTucks30","EN46_PhysioballSpinterKneeTucks60","46","1","0","0","0","0","0","ss"
"47","Physioball 1 Leg Around the Worlds","2","FREE","3","Physioball","BUR, L","3","4","BUR","EN47_Physioball1LegAroundTheWorlds30","EN47_Physioball1LegAroundTheWorlds60","47","1","0","0","0","1","0","ss"
"48","Physioball Skier Crunch ","1","FREE","3","Physioball","BUR, O","3","4","BUR","EN48_PhysioballSkierCrunch30","EN48_PhysioballSkierCrunch60","48","0","1","0","0","1","0",""
"49","Physioball Alternating Toe Touch","1","FREE","2","Physioball","M","2","3","M","EN49_PhysioballAlternatingToeTouch30","EN49_PhysioballAlternatingToeTouch60","49","0","0","1","0","0","0",""
"50","Physioball Roll Outs ","1","FREE","2","Physioball","M","2","3","M","EN50_PhysioballRollOuts30","EN50_PhysioballRollOuts60","50","0","0","1","0","0","0",""
"51","Physioball Stirs ","2","FREE","4","Physioball","TDR","4","NA","TDR","EN51_PhysioballStirs30","EN51_PhysioballStirs60","51","0","0","0","0","0","1","cd"
"52","Physioball Marching Planks ","1","FREE","3","Physioball","M","3","4","M","EN52_PhysioballMarchingPlanks30","EN52_PhysioballMarchingPlanks60","52","0","0","1","0","0","0",""
"53","Physioball Side Plank Drops","2","FREE","3","Physioball","O","3","4","O","EN53_PhysioballSidePlankDrops30","EN53_PhysioballSidePlankDrops60","53","0","1","0","0","0","0","ss"
"54","Hands Back Tucks","1","FREE","1","Bodyweight","L","1","2","L","EN54_HandsBackTucks30","EN54_HandsBackTucks60","54","1","0","0","0","0","0",""
"55","Hands Free Tucks","1","FREE","2","Bodyweight","M","2","3","M","EN55_HandsFreeTucks30","EN55_HandsFreeTucks60","55","0","0","1","0","0","0",""
"56","Hands Back Raises","1","FREE","2","Bodyweight","L","2","3","L","EN56_HandsBackRaises30","EN56_HandsBackRaises60","56","1","0","0","0","0","0",""
"57","Recliner Elbow to Knee Tucks ","1","FREE","3","Bodyweight","O, M, T","3","4","M","EN57_ReclinerElbowToKneeTucks30","EN57_ReclinerElbowToKneeTucks60","57","0","1","1","1","0","0",""
"58","90/90 Crunch ","1","FREE","1","Bodyweight","T","1","2","T","EN58_90_90Crunch30","EN58_90_90Crunch60","58","0","0","0","1","0","0",""
"59","Floor to Wall Plank Hops ","1","FREE","4","Bodyweight","M","4","NA","M","EN59_FloorToWallPlankHops30","EN59_FloorToWallPlankHops60","59","0","0","1","0","0","0",""
"60","Canoe Crunch ","1","FREE","2","Bodyweight","M, T, TDR","2","3","M","EN60_CanoeCrunch30","EN60_CanoeCrunch60","60","0","0","1","1","0","1",""
"61","""X"" Man Crunch ","1","FREE","3","Bodyweight","M, T","3","4","M","EN61_XManCrunch30","EN61_XManCrunch30","61","0","0","1","1","0","0",""
"62","Starfish Crunch ","1","FREE","3","Bodyweight","M, T, TDR, O","3","4","M","EN62_StarfishCrunch30","EN62_StarfishCrunch60","62","0","1","1","1","0","1",""
"63","Scissor ""V"" Ups ","1","FREE","2","Bodyweight","M, O","2","3","M","EN63_ScissorVUps30","EN63_ScissorVUps60","63","0","1","1","0","0","0",""
"64","""V"" Ups ","1","FREE","1","Bodyweight","M","1","2","M","EN64_VUps30","EN64_VUps60","64","0","0","1","0","0","0",""
"65","Heels to the Heavens ","1","FREE","2","Bodyweight","L","2","3","L","EN65_HealsToTheHeavens30","EN65_HealsToTheHeavens60","65","1","0","0","0","0","0",""
"66","ISO Reverse Crunches ","1","FREE","1","Bodyweight","L","1","2","L","EN66_ISOReverseCrunches30","EN66_ISOReverseCrunches60","66","1","0","0","0","0","0",""
"67","Side Plank Rows","2","FREE","5","Resistance Band","TDR, O","3","4","O","EN67_SidePlankRows30","EN67_SidePlankRows60","67","0","1","0","0","0","1","ss"
"68","Hanging Headrush","1","FREE","5","Resistance Band","BUR, L","3","4","L","EN68_HangingHeadrush30","EN68_HangingHeadrush60","68","1","0","0","0","1","0",""
"69","Hanging Headrush (single leg)","2","FREE","4","Resistance Band","BUR, L","4","NA","L","EN69_HangingHeadrush_SingleLeg30","EN69_HangingHeadrush_SingleLeg60","69","1","0","0","0","1","0","ss"
"70","Janda Crunches ","1","FREE","2","Resistance Band","T","2","3","T","EN70_JandaCrunches30","EN70_JandaCrunches60","70","0","0","0","1","0","0",""
"71","Punches and Crunches ","1","FREE","2","Resistance Band","T,O","2","3","T","EN71_PunchesAndCrunches30","EN71_PunchesAndCrunches60","71","0","0","0","1","0","0",""
"72","Frog Crunches ","1","FREE","1","Bodyweight","T","1","2","T","EN72_FrogCrunches30","EN72_FrogCrunches60","72","0","0","0","1","0","0",""
"73","Jackknifes","1","FREE","2","Bodyweight","T","2","3","T","EN73_Jackknifes30","EN73_Jackknifes60","73","0","0","0","1","0","0",""
"74","""21"" Crunch ","1","FREE","2","Bodyweight","M, T","2","3","M","EN74_21Crunch30","EN74_21Crunch60","74","0","0","1","1","0","0",""
"75","Flutter Kicks","1","FREE","1","Bodyweight","L","1","2","L","EN75_FlutterKicks30","EN75_FlutterKicks60","75","1","0","0","0","0","0",""
"76","Scissors","1","FREE","1","Bodyweight","L, O","1","2","L","EN76_Scissors30","EN76_Scissors60","76","1","1","0","0","0","0",""
"77","Russian ""V"" Tuck Twists","1","FREE","2","Bodyweight","M, TDR","2","3","M","EN77_RussianVTuckTwists30","EN77_RussianVTuckTwists60","77","0","0","1","0","0","1",""
"78","Shin Scrapers","1","FREE","2","Resistance Band","T","2","3","T","EN78_ShinScrapers30","EN78_ShinScrapers60","78","0","0","0","1","0","0",""
"79","Mountain Climbers ","1","FREE","1","Bodyweight","M","1","2","M","EN79_MountainClimbers30","EN79_MountainClimbers60","79","0","0","1","0","0","0",""
"80","Drunken Mountain Climbers","1","FREE","2","Bodyweight","BUR, M","2","3","BUR","EN80_DrunkenMountainClimbers30","EN80_DrunkenMountainClimbers60","80","0","0","1","0","1","0",""
"81","Seated Tornado Chops ","1","FREE","3","Resistance Band","TDR, O","3","4","TDR","EN81_SeatedTornadoChops30","EN81_SeatedTornadoChops60","81","0","1","0","0","0","1",""
"82","The ""Any Ball"" BTB Pass","2","FREE","1","Tennis Ball","TDR","1","2","TDR","EN82_TheAnyBallBTBPass30","EN82_TheAnyBallBTBPass60","82","0","0","0","0","0","1","cd"
"83","The Kobe Crunch","1","FREE","2","Bodyweight","M","2","3","M","EN83_TheKobeCrunch30","EN83_TheKobeCrunch60","83","0","0","1","0","0","0",""
"84","One Down Two Ups ","1","FREE","3","Bodyweight","L","3","4","L","EN84_OneDownTwoUps30","EN84_OneDownTwoUps60","84","1","0","0","0","0","0",""
"85","""I Surrender"" Crunch ","1","FREE","5","Resistance Band","M","3","4","M","EN85_TheISurrenderCrunch30","EN85_TheISurrenderCrunch60","85","0","0","1","0","0","0",""
"86","Figure 8's","1","FREE","3","Bodyweight","BUR, L","3","4","BUR","EN86_Figure8s30","EN86_Figure8s60","86","1","0","0","0","1","0",""
"87","Rolling Jackknifes ","1","FREE","2","Bodyweight","M","2","3","M","EN87_RollingJackknifes30","EN87_RollingJackknifes60","87","0","0","1","0","0","0",""
"88","Prayer Crunch ","1","FREE","1","Bodyweight","T","1","2","T","EN88_PrayerCrunch30","EN88_PrayerCrunch60","88","0","0","0","1","0","0",""
"89","Bent Knee Windshield Wipers ","1","FREE","1","Bodyweight","BUR","1","2","BUR","EN89_BentKneeWindshieldWipers30","EN89_BentKneeWindshieldWipers60","89","0","0","0","0","1","0",""
"90","Legs Straight Windshield Wipers ","1","FREE","2","Bodyweight","BUR","2","3","BUR","EN90_LegStraightWindshieldWipers30","EN90_LegStraightWindshieldWipers60","90","0","0","0","0","1","0",""
"91","Side Crunches ","2","FREE","1","Bodyweight","O","1","2","O","EN91_SideCrunches30","EN91_SideCrunches60","91","0","1","0","0","0","0","ss"
"92","Side Plank Lifts","2","FREE","1","Bodyweight","O, BUR","1","2","O","EN92_SidePlankLifts30","EN92_SidePlankLifts60","92","0","1","0","0","1","0","ss"
"93","Accordian Crunches","2","FREE","2","Bodyweight","O","2","3","O","EN93_AccordianCrunches30","EN93_AccordianCrunches60","93","0","1","0","0","0","0","ss"
"94","Seated Ab Circles","2","FREE","2","Bodyweight","BUR, L","2","3","BUR","EN94_SeatedAbCircles30","EN94_SeatedAbCircles60","94","1","0","0","0","1","0","cd"
"95","Muay Thai Crunch","1","FREE","1","Resistance Band","BUR, TDR","1","2","TDR","EN95_MuayThaiCrunch30","EN95_MuayThaiCrunch60","95","0","0","0","0","1","1",""
"96","The Crucifix","1","FREE","2","Resistance Band","TDR, O","2","3","TDR","EN96_TheCrucifix30","EN96_TheCrucifix60","96","0","1","0","0","0","1",""
"97","Hanging Pendulum Swings","1","FREE","3","Chinup Bar","BUR, L","3","4","L","EN97_HangingPendulumSwings30","EN97_HangingPendulumSwings60","97","1","0","0","0","1","0",""
"98","Sledgehammer Swings","2","FREE","2","Resistance Band","TDR, O","2","3","TDR","EN98_SledgehammerSwings30","EN98_SledgehammerSwings60","98","0","1","0","0","0","1","ss"
"99","Rocky Reverse Crunches","1","FREE","5","Bodyweight","L","4","NA","L","EN99_RockyReverseCrunches30","EN99_RockyReverseCrunches60","99","1","0","0","0","0","0",""
"100","Dueling Clocks","1","FREE","2","Bodyweight","M","2","3","M","EN100_DuelingClocks30","EN100_DuelingClocks60","100","0","0","1","0","0","0",""
"101","Crunch and Twists ","1","FREE","2","Bodyweight","T, O","2","3","T","EN101_CrunchAndTwists30","EN101_CrunchAndTwists60","101","0","1","0","1","0","0",""
"102","Upper Circle Crunches","2","FREE","2","Bodyweight","T, TDR","2","3","T","EN102_UpperCircleCrunches30","EN102_UpperCircleCrunches60","102","0","0","0","1","0","1","cd"
"103","Crunch Pulldowns","1","FREE","2","Resistance Band","T","2","3","T","EN103_CrunchPulldowns30","EN103_CrunchPulldowns60","103","0","0","0","1","0","0",""
"104","Hanging Corkscrews ","1","FREE","3","Chinup Bar","BUR, L","3","4","BUR","EN104_HangingCorkscrews30","EN104_HangingCorkscrews60","104","1","0","0","0","1","0",""
"105","Hanging Long Leg Wipers ","1","FREE","4","Chinup Bar","BUR, L, O","4","NA","BUR","EN105_HangingLongLegWipers30","EN105_HangingLongLegWipers60","105","1","1","0","0","1","0",""
"106","Dumbbell Thread the Needle","2","FREE","3","Dumbbell","TDR, O, M","3","4","O","EN106_DumbellThreadTheNeedle30","EN106_DumbellThreadTheNeedle60","106","0","1","1","0","0","1","ss"
"107","Single Arm Otis Ups","2","FREE","2","Dumbbell","T","2","3","T","EN107_SingleArmOtisUps30","EN107_SingleArmOtisUps60","107","0","0","0","1","0","0","ss"
"108","Dumbbell Dragon Thrusts","1","FREE","4","Dumbbell","L","4","NA","L","EN108_DumbbellDragonThrusts30","EN108_DumbbellDragonThrusts60","108","1","0","0","0","0","0",""
"109","Dumbbell Scissor Carries","1","FREE","3","Dumbbell","L, BUR, O","3","4","BUR","EN109_DumbbellScissorCarries30","EN109_DumbbellScissorCarries60","109","1","1","0","0","1","0",""
"110","Dumbbell Russian Twists","1","FREE","2","Dumbbell","TDR, O, M","2","3","TDR","EN110_DumbbellRussianTwists30","EN110_DumbbellRussianTwists60","110","0","1","1","0","0","1",""
"111","Dumbbell Russian Presses","1","FREE","2","Dumbbell","T, TDR, O, M","2","3","TDR","EN111_DumbbellRussianPresses30","EN111_DumbbellRussianPresses60","111","0","1","1","1","0","1",""
"112","Dumbbell Plank Heaves","1","FREE","2","Dumbbell","M","2","3","M","EN112_DumbbellPlankHeaves30","EN112_DumbbellPlankHeaves60","112","0","0","1","0","0","0",""
"113","Dumbbell Levitation Crunches","1","FREE","1","Dumbbell","T","1","2","T","EN113_DumbbellLevitationCrunches30","EN113_DumbbellLevitationCrunches60","113","0","0","0","1","0","0",""
"114","Dumbbell Knee Tucks","1","FREE","2","Dumbbell","M","2","3","M","EN114_DumbbellKneeTucks30","EN114_DumbbellKneeTucks60","114","0","0","1","0","0","0",""
"115","Dumbbell V Ups","1","FREE","3","Dumbbell","M","3","4","M","EN115_DumbbellVUps30","EN115_DumbbellVUps60","115","0","0","1","0","0","0",""
"116","Dumbbell 90/90 Crunches","1","FREE","1","Dumbbell","T,M","1","2","T","EN116_Dumbbell9090Crunches30","EN116_Dumbbell9090Crunches60","116","0","0","1","1","0","0",""
"117","Dumbbell Hollow Rocks","1","FREE","1","Dumbbell","M","1","2","M","EN117_DumbbellHollowRocks30","EN117_DumbbellHollowRocks60","117","0","0","1","0","0","0",""
"118","Dumbbell Sunrise/Sunset","1","FREE","3","Dumbbell","TDR, O, M","3","4","TDR","EN118_DumbbellSunriseSunset30","EN118_DumbbellSunriseSunset60","118","0","1","1","0","0","1",""
"119","Dumbbell Plank Reachouts","1","FREE","2","Dumbbell","M","2","3","M","EN119_DumbbellPlankReachouts30","EN119_DumbbellPlankReachouts60","119","0","0","1","0","0","0",""
"120","Side Plank Statue of Liberty","2","FREE","2","Dumbbell","O, BUR","2","3","O","EN120_SidePlankStatueofLiberty30","EN120_SidePlankStatueofLiberty60","120","0","1","0","0","1","0","ss"
"121","Dumbbell Recliner Presses","1","FREE","2","Dumbbell","M, T","2","3","T","EN121_DumbbellReclinerPresses30","EN121_DumbbellReclinerPresses60","121","0","0","1","1","0","0",""
"122","Dumbbell Oblique Wipers","2","FREE","2","Dumbbell","O, BUR, L","2","3","BUR","EN122_DumbbellObliqueWipers30","EN122_DumbbellObliqueWipers60","122","1","1","0","0","1","0","ss"
"123","Dumbbell Heel Tap Wipers","1","FREE","3","Dumbbell","M, L, BUR","3","4","BUR","EN123_DumbbellHeelTapWipers30","EN123_DumbbellHeelTapWipers60","123","1","0","1","0","1","0",""
"124","Dumbbell Rock the Boats","1","FREE","3","Dumbbell","M, BUR, TDR","3","4","M","EN124_DumbbellRockTheBoats30","EN124_DumbbellRockTheBoats60","124","0","0","1","0","1","1",""
"125","Single Arm Plank Rollouts","2","FREE","2","Dumbbell","M","2","3","M","EN125_SingleArmPlankRollouts30","EN125_SingleArmPlankRollouts60","125","0","0","1","0","0","0","ss"
"126","Dumbbell Upper Circle Crunches","2","FREE","2","Dumbbell","T, TDR, O","2","3","TDR","EN126_DumbbellUpperCircleCrunches30","EN126_DumbbellUpperCircleCrunches60","126","0","1","0","1","0","1","cd"
"127","Dumbbell Toe Tap Crunches","1","FREE","2","Dumbbell","T, M, L","2","3","M","EN127_DumbbellToeTapCrunches30","EN127_DumbbellToeTapCrunches60","127","1","0","1","1","0","0",""
"128","Dumbbell Twisting Toe Taps","1","FREE","3","Dumbbell","BUR, T, M, TDR","3","4","BUR","EN128_DumbbellTwistingToeTaps30","EN128_DumbbellTwistingToeTaps60","128","0","0","1","1","1","1",""
"129","Dumbbell Side Crunches","2","FREE","1","Dumbbell","O","1","2","O","EN129_DumbbellSideCrunches30","EN129_DumbbellSideCrunches60","129","0","1","0","0","0","0","ss"
"130","Dumbbell Figure 8's","1","FREE","4","Dumbbell","BUR, L","4","NA","BUR","EN130_DumbbellFigure8s30","EN130_DumbbellFigure8s60","130","1","0","0","0","1","0",""
"131","Dumbbell Butterfly Heel Taps","1","FREE","2","Dumbbell","L","2","3","L","EN131_DumbbellButterflyHeelTaps30","EN131_DumbbellButterflyHeelTaps60","131","1","0","0","0","0","0",""
"132","Dumbbell Handoffs","1","FREE","3","Dumbbell","T, M, L","3","4","T","EN132_DumbbellHandoffs30","EN132_DumbbellHandoffs60","132","1","0","1","1","0","0",""
"133","Dumbbell Rollups","1","FREE","1","Dumbbell","T","1","2","T","EN133_DumbbellRollups30","EN133_DumbbellRollups60","133","0","0","0","1","0","0",""
